Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
1.0551910400390625,1.0,0.0,-1.4782e-10,-5.52162e-07,0,0
1.5947344303131104,1.0,0.0,-1.32322e-10,-6.41209e-07,0,0
2.1342945098876953,1.0,0.0,-1.32322e-10,-6.315e-07,0,0
2.67488956451416,1.0,0.0,-1.32322e-10,-6.80739e-07,0,0
3.2144315242767334,1.0,0.0,-1.49012e-10,-6.07562e-07,0,0
3.7539892196655273,1.0,0.0,-1.49012e-10,-5.37105e-07,0,0
4.293522119522095,1.0,0.0,-1.43051e-10,-4.98719e-07,0,0
4.833104372024536,1.0,0.0,-1.46627e-10,-4.95954e-07,0,0
5.373633146286011,1.0,0.0,-1.45435e-10,-6.74291e-07,0,0
5.913233280181885,1.0,0.0,-1.45435e-10,-6.26473e-07,0,0
6.452749013900757,1.0,0.0,-1.43051e-10,-6.46522e-07,1,0
6.993304252624512,1.0,0.0,-1.56164e-10,-5.91593e-07,1,0
7.5328614711761475,1.0,0.0,-1.38283e-10,-5.58934e-07,1,0
8.072418928146362,1.0,0.0,-1.44243e-10,-7.40208e-07,1,0
8.611976623535156,1.0,0.0,-1.46627e-10,-6.47625e-07,1,0
9.151536464691162,1.0,0.0,-1.5378e-10,-5.86618e-07,1,0
9.691133975982666,1.0,0.0,-1.46627e-10,-5.13683e-07,1,0
10.231648445129395,1.0,0.0,-1.45435e-10,-5.93954e-07,1,0
10.771251678466797,1.0,0.0,-1.43051e-10,-6.54212e-07,1,0
11.310804605484009,1.0,0.0,-1.56164e-10,-5.38851e-07,1,0
11.850319623947144,1.0,0.0,-1.41859e-10,-5.62675e-07,1,0
12.389922380447388,1.0,0.0,-1.34706e-10,-6.47673e-07,1,0
12.929435014724731,1.0,0.0,-1.39475e-10,-7.07696e-07,1,0
13.469035387039185,1.0,0.0,-1.38283e-10,-6.71455e-07,1,0
14.008593559265137,1.0,0.0,-1.39475e-10,-5.44177e-07,1,0
14.548110485076904,1.0,0.0,-1.46627e-10,-4.63836e-07,1,0
15.089702844619751,1.0,1.0,3.19707e-08,-5.67086e-07,1,0
15.631214618682861,1.0,1.0,3.21138e-08,-5.68216e-07,1,0
16.172765254974365,1.0,1.0,3.13842e-08,-6.5927e-07,1,1
16.714319229125977,1.0,1.0,4.76742e-08,-5.75267e-07,1,1
17.25591206550598,1.0,1.0,5.40674e-08,-5.88147e-07,1,1
17.797422409057617,1.0,1.0,5.8285e-08,-5.20642e-07,1,1
18.339017152786255,1.0,1.0,6.19137e-08,-5.03507e-07,1,1
18.88055419921875,1.0,1.0,6.47569e-08,-6.11603e-07,1,1
19.42212224006653,1.0,1.0,6.75797e-08,-6.26606e-07,1,0
19.9636332988739,1.0,1.0,6.08468e-08,-5.6089e-07,1,0
20.505196571350098,1.0,1.0,5.81956e-08,-5.81792e-07,1,0
21.0467791557312,1.0,1.0,5.47707e-08,-5.34011e-07,1,0
21.588337898254395,1.0,1.0,5.4698e-08,-4.57096e-07,1,0
22.1298406124115,1.0,1.0,5.26953e-08,-6.88112e-07,1,0
22.671395301818848,1.0,1.0,5.21016e-08,-5.73889e-07,1,0
23.21298885345459,1.0,1.0,5.13744e-08,-4.55132e-07,1,0
23.754504919052124,1.0,1.0,4.97735e-08,-5.07051e-07,1,0
24.296058893203735,1.0,1.0,4.91989e-08,-7.41119e-07,1,0
24.8376042842865,1.0,1.0,4.89736e-08,-5.53124e-07,1,0
25.37915539741516,1.0,1.0,4.84455e-08,-6.2615e-07,1,0
25.918715000152588,1.0,0.0,-1.29938e-10,-6.5694e-07,1,0
26.459294080734253,1.0,0.0,-1.28746e-10,-5.74203e-07,1,0
26.998851776123047,1.0,0.0,-1.23978e-10,-6.25891e-07,1,0
27.539380311965942,1.0,0.0,-1.32322e-10,-5.53416e-07,1,0
28.07897925376892,1.0,0.0,-1.34706e-10,-5.4168e-07,1,0
28.618542432785034,1.0,0.0,-1.35899e-10,-6.64748e-07,1,0
29.1580970287323,1.0,0.0,-1.27554e-10,-6.61132e-07,1,0
29.69765329360962,1.0,0.0,-1.45435e-10,-5.58654e-07,1,0
30.237170219421387,1.0,0.0,-1.37091e-10,-5.48758e-07,1,0
30.776774883270264,1.0,0.0,-1.35899e-10,-4.70544e-07,1,0
31.318305253982544,1.0,1.0,4.82404e-08,-7.27937e-07,1,0
31.8598313331604,1.0,1.0,4.66454e-08,-5.1339e-07,1,0
32.401390075683594,1.0,1.0,4.60112e-08,-6.65391e-07,1,1
32.94296169281006,1.0,1.0,5.98323e-08,-4.89743e-07,1,1
33.48453092575073,1.0,1.0,6.50024e-08,-5.21041e-07,1,1
34.02608251571655,1.0,1.0,6.83498e-08,-5.80751e-07,1,1
34.56763505935669,1.0,1.0,7.20274e-08,-6.16804e-07,1,1
35.10914635658264,1.0,1.0,7.23612e-08,-5.31525e-07,1,1
35.650723457336426,1.0,1.0,7.4743e-08,-3.71368e-07,1,0
36.19224977493286,1.0,1.0,6.95038e-08,-6.4052e-07,1,0
36.73380422592163,1.0,1.0,6.63996e-08,-5.79681e-07,1,0
37.27539682388306,1.0,1.0,6.34933e-08,-5.3103e-07,1,0
37.81690979003906,1.0,1.0,6.16598e-08,-5.6617e-07,1,0
38.35849857330322,1.0,1.0,5.98621e-08,-5.35635e-07,1,0
38.90005421638489,1.0,1.0,5.9365e-08,-6.32789e-07,1,0
39.44160461425781,1.0,1.0,5.85473e-08,-5.86848e-07,1,0
39.9831166267395,1.0,1.0,5.7286e-08,-5.24033e-07,1,0
40.52471041679382,1.0,1.0,5.66649e-08,-5.31823e-07,1,0
41.06622242927551,1.0,1.0,5.61535e-08,-6.427e-07,1,0
41.60777306556702,1.0,1.0,5.60987e-08,-6.66237e-07,1,0
42.14735770225525,1.0,0.0,-1.15633e-10,-6.45724e-07,1,0
42.68792533874512,1.0,0.0,-1.10865e-10,-6.07835e-07,1,0
43.22748303413391,1.0,0.0,-1.16825e-10,-5.06965e-07,1,0
43.767043113708496,1.0,0.0,-1.10865e-10,-5.74453e-07,1,0
44.30659818649292,1.0,0.0,-1.16825e-10,-6.20005e-07,1,0
44.8461594581604,1.0,0.0,-1.28746e-10,-5.758e-07,1,0
45.3857159614563,1.0,0.0,-1.13249e-10,-6.09471e-07,1,0
45.92527389526367,1.0,0.0,-1.28746e-10,-5.22783e-07,1,0
